id	brand	purchasequantity
86246	0	722
86246	52	1
86246	60	12
86246	85	5
86246	162	1
86246	173	4
86246	193	1
86246	194	6
86246	250	5
86246	287	11
86246	304	3
86246	305	5
86246	319	9
86246	330	3
86246	333	4
86246	401	1
86246	423	4
86246	432	2
86246	452	2
86246	491	22
86246	506	3
86246	514	5
86246	671	3
86246	673	8
86246	677	3
86246	678	4
86246	683	5
86246	708	3
86246	766	1
86246	803	10
86246	828	8
86246	837	3
86246	854	3
86246	867	6
86246	875	23
86246	885	50
86246	912	3
86246	914	8
86246	978	1
86246	1008	3
86246	1058	21
86246	1081	4
86246	1093	1
86246	1142	1
86246	1193	6
86246	1214	1
86246	1230	3
86246	1235	17
86246	1257	17
86246	1287	12
86246	1292	3
86246	1321	1
86246	1322	21
86246	1358	48
86246	1362	1
86246	1366	49
86246	1372	1
86246	1387	19
86246	1393	10
86246	1426	3
86246	1437	6
86246	1486	2
86246	1488	1
86246	1516	4
86246	1525	5
86246	1537	2
86246	1538	1
86246	1569	40
86246	1604	2
86246	1636	1
86246	1653	1
86246	1677	2
86246	1698	7
86246	1704	2
86246	1748	32
86246	1756	40
86246	1783	4
86246	1809	3
86246	1827	1
86246	1841	4
86246	1910	15
86246	1949	4
86246	1993	2
86246	2011	20
86246	2012	23
86246	2014	2
86246	2017	7
86246	2034	1
86246	2073	37
86246	2082	1
86246	2142	8
86246	2187	1
86246	2190	1
86246	2199	2
86246	2209	2
86246	2242	1
86246	2246	1
86246	2248	38
86246	2259	3
86246	2272	3
86246	2308	19
86246	2321	18
86246	2331	1
86246	2347	20
86246	2359	10
86246	2362	3
86246	2383	1
86246	2437	1
86246	2443	6
86246	2445	1
86246	2450	1
86246	2481	4
86246	2500	42
86246	2509	6
86246	2510	96
86246	2539	2
86246	2551	1
86246	2559	26
86246	2567	1
86246	2568	1
86246	2570	2
86246	2595	14
86246	2626	7
86246	2631	5
86246	2675	11
86246	2689	5
86246	2690	1
86246	2732	22
86246	2795	7
86246	2803	2
86246	2820	149
86246	2821	2
86246	2829	43
86246	2892	1
86246	2903	30
86246	2911	2
86246	2964	4
86246	2982	28
86246	2983	1
86246	3001	10
86246	3008	1
86246	3012	71
86246	3020	2
86246	3068	6
86246	3100	3
86246	3108	4
86246	3139	1
86246	3173	1
86246	3174	13
86246	3204	1
86246	3223	19
86246	3271	1
86246	3293	24
86246	3295	1
86246	3298	2
86246	3330	1
86246	3331	18
86246	3333	2
86246	3336	26
86246	3337	3
86246	3342	57
86246	3350	9
86246	3387	13
86246	3396	2
86246	3397	12
86246	3398	1
86246	3412	4
86246	3447	1
86246	3453	6
86246	3454	8
86246	3522	3
86246	3526	1
86246	3611	2
86246	3635	4
86246	3640	3
86246	3662	1
86246	3668	1
86246	3679	5
86246	3718	9
86246	3744	15
86246	3764	1
86246	3769	13
86246	3809	89
86246	3813	1
86246	3829	1
86246	3830	12
86246	3831	1
86246	3843	7
86246	3895	1
86246	3909	4
86246	3912	2
86246	3957	13
86246	3988	5
86246	4009	4
86246	4030	17
86246	4043	22
86246	4071	13
86246	4078	3
86246	4082	1
86246	4086	2
86246	4089	3
86246	4098	21
86246	4139	17
86246	4168	1
86246	4170	1
86246	4178	2
86246	4186	5
86246	4218	4
86246	4219	1
86246	4239	2
86246	4250	7
86246	4253	2
86246	4256	5
86246	4294	4
86246	4307	7
86246	4354	19
86246	4356	2
86246	4368	110
86246	4429	2
86246	4518	16
86246	4529	35
86246	4531	1
86246	4568	24
86246	4599	9
86246	4607	2
86246	4614	1
86246	4615	2
86246	4628	21
86246	4664	6
86246	4687	114
86246	4696	5
86246	4704	135
86246	4761	1
86246	4806	1
86246	4875	5
86246	4912	4
86246	4913	3
86246	4944	5
86246	4979	13
86246	5016	17
86246	5055	1
86246	5056	5
86246	5065	1
86246	5072	60
86246	5098	40
86246	5119	1
86246	5137	1
86246	5141	32
86246	5150	5
86246	5157	3
86246	5168	12
86246	5174	4
86246	5208	37
86246	5232	2
86246	5251	3
86246	5265	1
86246	5278	1
86246	5322	5
86246	5337	24
86246	5345	50
86246	5379	3
86246	5428	3
86246	5453	3
86246	5487	2
86246	5507	2
86246	5508	1
86246	5518	1
86246	5557	6
86246	5558	9
86246	5602	1
86246	5603	20
86246	5613	2
86246	5618	16
86246	5656	5
86246	5723	1
86246	5740	9
86246	5752	2
86246	5782	3
86246	5807	1
86246	5810	2
86246	5812	1
86246	5842	2
86246	5845	66
86246	5848	1
86246	5898	3
86246	5929	2
86246	5939	1
86246	5971	1
86246	5998	1
86246	6021	20
86246	6086	7
86246	6125	1
86246	6126	2
86246	6132	22
86246	6137	15
86246	6141	2
86246	6165	22
86246	6176	6
86246	6236	18
86246	6276	1
86246	6283	4
86246	6294	3
86246	6305	1
86246	6313	2
86246	6335	2
86246	6387	1
86246	6394	1
86246	6414	4
86246	6422	3
86246	6449	1
86246	6509	9
86246	6540	1
86246	6550	20
86246	6625	2
86246	6627	3
86246	6643	6
86246	6667	2
86246	6670	2
86246	6688	1
86246	6690	10
86246	6714	16
86246	6716	3
86246	6732	88
86246	6734	2
86246	6743	3
86246	6769	2
86246	6775	27
86246	6777	18
86246	6790	1
86246	6796	13
86246	6797	1
86246	6845	1
86246	6852	5
86246	6854	1
86246	6869	2
86246	6881	3
86246	6886	3
86246	6911	13
86246	6926	7
86246	6947	56
86246	6967	8
86246	6978	3
86246	7018	1
86246	7054	75
86246	7078	1
86246	7104	1
86246	7142	56
86246	7179	12
86246	7196	4
86246	7217	1
86246	7237	7
86246	7245	20
86246	7249	5
86246	7265	9
86246	7308	48
86246	7354	2
86246	7366	3
86246	7368	23
86246	7389	3
86246	7400	2
86246	7422	1
86246	7452	4
86246	7459	1
86246	7465	2
86246	7467	1
86246	7504	7
86246	7531	28
86246	7608	1
86246	7655	57
86246	7667	289
86246	7675	16
86246	7678	2
86246	7686	1
86246	7740	3
86246	7766	1
86246	7770	1
86246	7788	4
86246	7796	69
86246	7853	4
86246	7860	15
86246	7870	4
86246	7890	5
86246	7907	103
86246	7934	1
86246	7966	8
86246	8019	33
86246	8060	1
86246	8089	11
86246	8105	1
86246	8131	2
86246	8144	3
86246	8154	4
86246	8159	10
86246	8164	35
86246	8178	17
86246	8183	3
86246	8185	15
86246	8228	1
86246	8245	16
86246	8247	52
86246	8255	5
86246	8280	14
86246	8318	20
86246	8376	1
86246	8435	91
86246	8459	8
86246	8463	5
86246	8471	2
86246	8481	3
86246	8499	18
86246	8501	39
86246	8508	13
86246	8511	5
86246	8522	34
86246	8574	1
86246	8583	3
86246	8604	10
86246	8605	11
86246	8612	98
86246	8617	1
86246	8664	1
86246	8682	8
86246	8692	3
86246	8709	4
86246	8711	30
86246	8755	1
86246	8760	3
86246	8790	2
86246	8919	5
86246	8952	18
86246	8993	3
86246	9031	1
86246	9076	5
86246	9078	41
86246	9098	6
86246	9189	17
86246	9190	31
86246	9191	5
86246	9200	35
86246	9209	74
86246	9260	12
86246	9275	1
86246	9286	1
86246	9301	1
86246	9316	1
86246	9347	2
86246	9356	8
86246	9364	2
86246	9388	1
86246	9444	4
86246	9469	1
86246	9488	2
86246	9496	5
86246	9507	2
86246	9524	9
86246	9530	4
86246	9543	4
86246	9547	9
86246	9567	1
86246	9581	1
86246	9614	4
86246	9626	10
86246	9659	7
86246	9679	2
86246	9680	5
86246	9705	10
86246	9709	22
86246	9739	3
86246	9743	2
86246	9773	2
86246	9787	36
86246	9798	1
86246	9814	17
86246	9865	2
86246	9878	6
86246	9886	183
86246	9891	1
86246	9896	1
86246	9903	30
86246	9933	24
86246	9949	2
86246	9966	3
86246	9977	8
86246	9982	3
86246	10022	6
86246	10074	22
86246	10091	5
86246	10160	40
86246	10165	36
86246	10177	3
86246	10211	2
86246	10216	4
86246	10238	2
86246	10241	57
86246	10265	8
86246	10267	2
86246	10271	1
86246	10274	2
86246	10333	1
86246	10336	1
86246	10383	35
86246	10421	2
86246	10451	2
86246	10486	1
86246	10487	1
86246	10491	3
86246	10522	36
86246	10554	2
86246	10555	1
86246	10577	137
86246	10585	6
86246	10653	30
86246	10654	6
86246	10674	8
86246	10711	3
86246	10737	2
86246	10793	14
86246	10794	5
86246	10797	4
86246	10802	10
86246	10815	4
86246	10837	30
86246	10861	3
86246	10865	2
86246	10882	2
86246	11011	11
86246	11059	3
86246	11061	1
86246	11064	3
86246	11079	2
86246	11085	2
86246	11091	11
86246	11116	8
86246	11125	1
86246	11130	20
86246	11134	2
86246	11145	1
86246	11151	11
86246	11186	95
86246	11211	5
86246	11221	101
86246	11224	113
86246	11238	23
86246	11244	11
86246	11320	13
86246	11339	25
86246	11358	4
86246	11382	8
86246	11395	1
86246	11482	8
86246	11515	1
86246	11516	1
86246	11614	35
86246	11616	25
86246	11625	43
86246	11668	2
86246	11683	4
86246	11698	3
86246	11704	45
86246	11732	8
86246	11748	7
86246	11749	56
86246	11758	2
86246	11761	6
86246	11770	8
86246	11786	4
86246	11797	12
86246	11799	4
86246	11836	1
86246	11881	10
86246	11884	1
86246	11910	13
86246	11951	1
86246	11968	1
86246	11990	14
86246	12021	14
86246	12022	2
86246	12029	63
86246	12086	8
86246	12113	1
86246	12114	4
86246	12116	21
86246	12119	5
86246	12120	22
86246	12131	2
86246	12137	4
86246	12157	15
86246	12163	2
86246	12168	58
86246	12170	4
86246	12186	2
86246	12187	1
86246	12188	2
86246	12197	10
86246	12201	4
86246	12209	1
86246	12279	5
86246	12339	5
86246	12350	3
86246	12358	45
86246	12426	21
86246	12465	112
86246	12502	3
86246	12531	2
86246	12545	4
86246	12546	1
86246	12547	6
86246	12554	1
86246	12564	3
86246	12587	4
86246	12592	7
86246	12595	2
86246	12598	5
86246	12599	10
86246	12614	1
86246	12673	35
86246	12696	2
86246	12706	1
86246	12733	2
86246	12736	2
86246	12778	1
86246	12885	1
86246	12926	15
86246	12936	1
86246	12957	47
86246	12977	4
86246	13012	4
86246	13014	4
86246	13023	21
86246	13024	1
86246	13056	1
86246	13194	9
86246	13219	13
86246	13228	10
86246	13243	5
86246	13296	9
86246	13310	85
86246	13359	1
86246	13386	1
86246	13410	11
86246	13412	9
86246	13414	1
86246	13461	2
86246	13467	6
86246	13470	4
86246	13474	6
86246	13478	77
86246	13481	5
86246	13505	2
